company_id,status,row_count,year_count
ABB,PRESENT,23,12
ADANIENSOL,PRESENT,11,11
ADANIENT,PRESENT,12,12
ADANIGREEN,PRESENT,8,8
ADANIPORTS,PRESENT,12,12
ADANIPOWER,PRESENT,12,12
AMBUJACEM,PRESENT,12,12
APOLLOHOSP,PRESENT,12,12
ASIANPAINT,PRESENT,12,12
ATGL,MISSING,0,0
AXISBANK,PRESENT,12,12
BAJAJ-AUTO,PRESENT,24,12
BAJAJFINSV,PRESENT,12,12
BAJAJHLDNG,PRESENT,12,12
BAJFINANCE,PRESENT,10,10
BANKBARODA,PRESENT,12,12
BEL,PRESENT,12,12
BHARTIARTL,PRESENT,12,12
BHEL,PRESENT,12,12
BOSCHLTD,PRESENT,12,12
BPCL,PRESENT,12,12
BRITANNIA,PRESENT,12,12
CANBK,PRESENT,12,12
CHOLAFIN,PRESENT,12,12
CIPLA,PRESENT,12,12
COALINDIA,PRESENT,12,12
DABUR,PRESENT,12,12
DIVISLAB,PRESENT,12,12
DLF,PRESENT,12,12
DMART,PRESENT,12,12
DRREDDY,PRESENT,12,12
EICHERMOT,PRESENT,12,12
GAIL,PRESENT,12,12
GODREJCP,PRESENT,12,12
GRASIM,PRESENT,12,12
HAL,PRESENT,8,8
HAVELLS,PRESENT,12,12
HCLTECH,PRESENT,12,12
HDFCBANK,PRESENT,12,12
HDFCLIFE,PRESENT,12,12
HEROMOTOCO,PRESENT,11,11
HINDALCO,PRESENT,12,12
HINDUNILVR,PRESENT,12,12
ICICIBANK,PRESENT,12,12
ICICIGI,PRESENT,12,12
ICICIPRULI,PRESENT,12,12
INDIGO,PRESENT,12,12
INDUSINDBK,PRESENT,12,12
INFY,PRESENT,12,12
IOC,PRESENT,12,12
IRCTC,PRESENT,10,10
IRFC,PRESENT,9,9
ITC,PRESENT,12,12
JINDALSTEL,PRESENT,12,12
JIOFIN,PRESENT,2,2
JSWENERGY,PRESENT,12,12
JSWSTEEL,PRESENT,12,12
KOTAKBANK,PRESENT,12,12
LICI,PRESENT,6,6
LODHA,PRESENT,9,9
LT,PRESENT,12,12
LTIM,PRESENT,12,12
M&M,PRESENT,12,12
MARUTI,PRESENT,12,12
MOTHERSON,PRESENT,12,12
NAUKRI,PRESENT,12,12
NESTLEIND,PRESENT,12,12
NHPC,PRESENT,12,12
NTPC,PRESENT,12,12
ONGC,PRESENT,12,12
PFC,PRESENT,12,12
PIDILITIND,PRESENT,12,12
PNB,PRESENT,12,12
POWERGRID,PRESENT,12,12
RECLTD,PRESENT,12,12
RELIANCE,PRESENT,12,12
SBILIFE,PRESENT,12,12
SBIN,PRESENT,12,12
SHREECEM,PRESENT,12,12
SHRIRAMFIN,PRESENT,12,12
SIEMENS,PRESENT,12,12
SUNPHARMA,PRESENT,12,12
TATACONSUM,PRESENT,12,12
TATAMOTORS,PRESENT,12,12
TATAPOWER,PRESENT,12,12
TATASTEEL,PRESENT,12,12
TCS,PRESENT,24,24
TECHM,PRESENT,12,12
TITAN,PRESENT,12,12
TORNTPHARM,PRESENT,12,12
TRENT,PRESENT,12,12
TVSMOTOR,PRESENT,12,12
