company_id,from_year,to_year,previous_pattern,new_pattern,change
ABB,2012,2014,Reinvestor,Cash Accumulator,Reinvestor -> Cash Accumulator
ABB,2014,2015,Cash Accumulator,Growth Funded by Debt,Cash Accumulator -> Growth Funded by Debt
ABB,2015,2016,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
ABB,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
ABB,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
ABB,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
ABB,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENSOL,2014,2015,Cash Accumulator,Growth Funded by Debt,Cash Accumulator -> Growth Funded by Debt
ADANIENSOL,2015,2016,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENSOL,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENSOL,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENSOL,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENSOL,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2018,2019,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
ADANIENT,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ADANIENT,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2022,2023,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIGREEN,2022,2023,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIGREEN,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2015,2016,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2016,2017,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2019,2020,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPOWER,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
