kpi,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,4.603000000000001,7.215,14.120000000000001,20.3825,29.329000000000004,20.119333333333334,45.682613066999735
operating_profit_margin_pct,10.064,16.09,26.18,41.75,84.46200000000002,35.32505617977528,27.311581547844042
return_on_equity_pct,8.360999999999999,11.61,16.275,26.0825,48.39700000000001,125.0663333333333,640.6160997311254
debt_to_equity,0.009000000000000005,0.052500000000000005,0.435,1.6175,6.465000000000002,1.6820000000000002,2.876230054401542
interest_coverage,1.674,3.31,11.36,58.33,193.592,128.84157303370787,491.08691359273956
asset_turnover,0.07,0.2125,0.6699999999999999,1.1375,1.6670000000000005,3.536222222222223,15.933559071003677
revenue_cagr_5yr,3.95,7.81,11.15,16.85,21.01,12.373595505617978,7.624396138114064
pat_cagr_5yr,3.7220000000000004,9.235,15.92,23.439999999999998,37.913999999999994,19.884939759036143,20.828810392683867
eps_cagr_5yr,3.147,8.715,13.925,21.400000000000002,30.346000000000004,17.61817073170732,18.91581238913257
return_on_capital_employed_pct,3.498,10.59,19.45,33.85,121.60800000000005,184.49101123595506,790.0951917965975
