ABB | ROCE | Calculated=31.22 | Source=46.00 | Difference=14.78 | Category=Formula discrepancy
ABB | ROE | Calculated=22.41 | Source=34.90 | Difference=12.49 | Category=Formula discrepancy
ABB | ROCE | Calculated=33.88 | Source=46.00 | Difference=12.12 | Category=Formula discrepancy
ABB | ROE | Calculated=25.13 | Source=34.90 | Difference=9.77 | Category=Version difference
ABB | ROCE | Calculated=33.88 | Source=46.00 | Difference=12.12 | Category=Formula discrepancy
ABB | ROE | Calculated=25.13 | Source=34.90 | Difference=9.77 | Category=Version difference
ABB | ROCE | Calculated=33.30 | Source=46.00 | Difference=12.70 | Category=Formula discrepancy
ABB | ROE | Calculated=24.44 | Source=34.90 | Difference=10.46 | Category=Formula discrepancy
ABB | ROCE | Calculated=33.30 | Source=46.00 | Difference=12.70 | Category=Formula discrepancy
ABB | ROE | Calculated=24.44 | Source=34.90 | Difference=10.46 | Category=Formula discrepancy
ABB | ROCE | Calculated=30.54 | Source=46.00 | Difference=15.46 | Category=Formula discrepancy
ABB | ROE | Calculated=21.34 | Source=34.90 | Difference=13.56 | Category=Formula discrepancy
ABB | ROCE | Calculated=30.54 | Source=46.00 | Difference=15.46 | Category=Formula discrepancy
ABB | ROE | Calculated=21.34 | Source=34.90 | Difference=13.56 | Category=Formula discrepancy
ABB | ROCE | Calculated=28.70 | Source=46.00 | Difference=17.30 | Category=Formula discrepancy
ABB | ROE | Calculated=19.97 | Source=34.90 | Difference=14.93 | Category=Formula discrepancy
ABB | ROCE | Calculated=28.70 | Source=46.00 | Difference=17.30 | Category=Formula discrepancy
ABB | ROE | Calculated=19.97 | Source=34.90 | Difference=14.93 | Category=Formula discrepancy
ABB | ROCE | Calculated=31.01 | Source=46.00 | Difference=14.99 | Category=Formula discrepancy
ABB | ROE | Calculated=23.69 | Source=34.90 | Difference=11.21 | Category=Formula discrepancy
ABB | ROCE | Calculated=31.01 | Source=46.00 | Difference=14.99 | Category=Formula discrepancy
ABB | ROE | Calculated=23.69 | Source=34.90 | Difference=11.21 | Category=Formula discrepancy
ABB | ROCE | Calculated=30.13 | Source=46.00 | Difference=15.87 | Category=Formula discrepancy
ABB | ROE | Calculated=22.41 | Source=34.90 | Difference=12.49 | Category=Formula discrepancy
ABB | ROCE | Calculated=30.13 | Source=46.00 | Difference=15.87 | Category=Formula discrepancy
ABB | ROE | Calculated=22.41 | Source=34.90 | Difference=12.49 | Category=Formula discrepancy
ABB | ROCE | Calculated=29.05 | Source=46.00 | Difference=16.95 | Category=Formula discrepancy
ABB | ROE | Calculated=24.39 | Source=34.90 | Difference=10.51 | Category=Formula discrepancy
ABB | ROCE | Calculated=29.05 | Source=46.00 | Difference=16.95 | Category=Formula discrepancy
ABB | ROE | Calculated=24.39 | Source=34.90 | Difference=10.51 | Category=Formula discrepancy
ABB | ROCE | Calculated=33.47 | Source=46.00 | Difference=12.53 | Category=Formula discrepancy
ABB | ROE | Calculated=26.56 | Source=34.90 | Difference=8.34 | Category=Version difference
ABB | ROCE | Calculated=33.47 | Source=46.00 | Difference=12.53 | Category=Formula discrepancy
ABB | ROE | Calculated=26.56 | Source=34.90 | Difference=8.34 | Category=Version difference
ABB | ROCE | Calculated=36.41 | Source=46.00 | Difference=9.59 | Category=Version difference
ABB | ROE | Calculated=28.33 | Source=34.90 | Difference=6.57 | Category=Version difference
ABB | ROCE | Calculated=36.41 | Source=46.00 | Difference=9.59 | Category=Version difference
ABB | ROE | Calculated=28.33 | Source=34.90 | Difference=6.57 | Category=Version difference
ABB | ROCE | Calculated=36.53 | Source=46.00 | Difference=9.47 | Category=Version difference
ABB | ROE | Calculated=29.77 | Source=34.90 | Difference=5.13 | Category=Version difference
ABB | ROCE | Calculated=36.53 | Source=46.00 | Difference=9.47 | Category=Version difference
ABB | ROE | Calculated=29.77 | Source=34.90 | Difference=5.13 | Category=Version difference
ABB | ROCE | Calculated=38.42 | Source=46.00 | Difference=7.58 | Category=Version difference
ABB | ROCE | Calculated=38.42 | Source=46.00 | Difference=7.58 | Category=Version difference
ADANIENSOL | ROCE | Calculated=0.00 | Source=9.00 | Difference=9.00 | Category=Version difference
ADANIENSOL | ROE | Calculated=0.00 | Source=8.59 | Difference=8.59 | Category=Version difference
ADANIENSOL | ROCE | Calculated=0.94 | Source=9.00 | Difference=8.06 | Category=Version difference
ADANIENSOL | ROE | Calculated=-0.65 | Source=8.59 | Difference=9.24 | Category=Version difference
ADANIENSOL | ROCE | Calculated=17.12 | Source=9.00 | Difference=8.12 | Category=Version difference
ADANIENSOL | ROE | Calculated=13.77 | Source=8.59 | Difference=5.18 | Category=Version difference
ADANIENSOL | ROCE | Calculated=16.63 | Source=9.00 | Difference=7.63 | Category=Version difference
ADANIENSOL | ROE | Calculated=14.12 | Source=8.59 | Difference=5.53 | Category=Version difference
ADANIENSOL | ROCE | Calculated=17.14 | Source=9.00 | Difference=8.14 | Category=Version difference
ADANIENSOL | ROE | Calculated=18.87 | Source=8.59 | Difference=10.28 | Category=Formula discrepancy
ADANIENSOL | ROE | Calculated=14.46 | Source=8.59 | Difference=5.87 | Category=Version difference
ADANIENT | ROE | Calculated=5.69 | Source=13.64 | Difference=7.95 | Category=Version difference
ADANIENT | ROCE | Calculated=5.17 | Source=11.60 | Difference=6.43 | Category=Version difference
ADANIENT | ROE | Calculated=7.47 | Source=13.64 | Difference=6.17 | Category=Version difference
ADANIENT | ROCE | Calculated=5.44 | Source=11.60 | Difference=6.16 | Category=Version difference
ADANIENT | ROE | Calculated=6.54 | Source=13.64 | Difference=7.10 | Category=Version difference
ADANIENT | ROCE | Calculated=6.23 | Source=11.60 | Difference=5.37 | Category=Version difference
ADANIENT | ROE | Calculated=3.94 | Source=13.64 | Difference=9.70 | Category=Version difference
ADANIENT | ROE | Calculated=3.43 | Source=13.64 | Difference=10.21 | Category=Formula discrepancy
ADANIENT | ROE | Calculated=6.14 | Source=13.64 | Difference=7.50 | Category=Version difference
ADANIENT | ROE | Calculated=6.10 | Source=13.64 | Difference=7.54 | Category=Version difference
ADANIENT | ROCE | Calculated=5.82 | Source=11.60 | Difference=5.78 | Category=Version difference
ADANIENT | ROE | Calculated=3.54 | Source=13.64 | Difference=10.10 | Category=Formula discrepancy
ADANIENT | ROE | Calculated=7.33 | Source=13.64 | Difference=6.31 | Category=Version difference
ADANIENT | ROE | Calculated=8.53 | Source=13.64 | Difference=5.11 | Category=Version difference
ADANIGREEN | ROCE | Calculated=7.26 | Source=96.50 | Difference=89.24 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-3.91 | Source=14.70 | Difference=18.61 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=7.52 | Source=96.50 | Difference=88.98 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-10.29 | Source=14.70 | Difference=24.99 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=11.67 | Source=96.50 | Difference=84.83 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-24.57 | Source=14.70 | Difference=39.27 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.42 | Source=96.50 | Difference=88.08 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-2.89 | Source=14.70 | Difference=17.59 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.49 | Source=96.50 | Difference=88.01 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=8.27 | Source=14.70 | Difference=6.43 | Category=Version difference
ADANIGREEN | ROCE | Calculated=6.33 | Source=96.50 | Difference=90.17 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.08 | Source=96.50 | Difference=88.42 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=9.80 | Source=96.50 | Difference=86.70 | Category=Formula discrepancy
ADANIPORTS | ROE | Calculated=25.63 | Source=18.10 | Difference=7.53 | Category=Version difference
ADANIPORTS | ROE | Calculated=25.63 | Source=18.10 | Difference=7.53 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.84 | Source=18.10 | Difference=6.26 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.84 | Source=18.10 | Difference=6.26 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.88 | Source=18.10 | Difference=6.22 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.88 | Source=18.10 | Difference=6.22 | Category=Version difference
ADANIPOWER | ROCE | Calculated=2.08 | Source=32.20 | Difference=30.12 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-53.46 | Source=57.10 | Difference=110.56 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.06 | Source=32.20 | Difference=23.14 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-4.45 | Source=57.10 | Difference=61.55 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.27 | Source=32.20 | Difference=22.93 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-14.25 | Source=57.10 | Difference=71.35 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=14.62 | Source=32.20 | Difference=17.58 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=7.38 | Source=57.10 | Difference=49.72 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=10.78 | Source=32.20 | Difference=21.42 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-205.80 | Source=57.10 | Difference=262.90 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=10.12 | Source=32.20 | Difference=22.08 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-236.56 | Source=57.10 | Difference=293.66 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.11 | Source=32.20 | Difference=23.09 | Category=Formula discrepancy
